photo,value,year,event
https://cmik2.github.io/photos/1912-pike-store-02-1.jpg,5,1971,Starbucks opens first store in Seattle’s Pike Place Market.
,5,1982,Howard Schultz joins Starbucks as director of retail operations and marketing. Starbucks begins providing coffee to fine restaurants and espresso bars.
,5,1983,"Schultz travels to Italy, where he’s impressed with the popularity of espresso bars in Milan. He sees the potential to develop a similar coffeehouse culture in Seattle."
,5,1984,"Schultz convinces the founders of Starbucks to test the coffeehouse concept in downtown Seattle, where the first Starbucks Caffè Latte is served. This successful experiment is the genesis for a company that Schultz founds in 1985."
,5,1985,"Schultz founds Il Giornale, offering brewed coffee and espresso beverages made from Starbucks® coffee beans."
,5,1987,"Il Giornale acquires Starbucks assets with the backing of local investors and changes its name to Starbucks Corporation. Opens in Chicago and Vancouver, Canada.Total stores*: 17"
,5,1988,"Offers full health benefits to eligible full- and part-time employees, including coverage for domestic partnerships.Total stores: 33"
,5,1989,Total stores: 55
,5,1990,Starbucks expands headquarters in Seattle.Unveils Starbucks Mission Statement.Total stores: 84
,5,1991,Becomes the first privately owned U.S. company to offer a stock option program that includes part-time employees.Opens first licensed airport store at Seattle’s Sea-Tac International Airport.Total stores: 116
https://cmik2.github.io/photos/ipo.jpeg,5,1992,Completes initial public offering (IPO). Total stores: 165
,5,1993,"Opens roasting plant in Kent, Wash.Announces first two-for-one stock split.Total stores: 272"
,5,1994,Opens first drive-thru location.Total stores: 425
https://cmik2.github.io/photos/frapp.jpeg,5,1995,"Begins serving Frappuccino® blended beverages.Opens first LEED-certified store in Hillsboro, Oregon.Announces second two-for-one stock split.Opens roasting facility in York, Pa.Total stores: 677"
,5,1996,"Begins selling bottled Frappuccino® coffee drink through North American Coffee Partnership.Opens stores in: Japan (first store outside of North America) and Singapore.Total stores: 1,015"
,5,1997,"Establishes the Starbucks Foundation.Opens stores in: the Philippines.Total stores: 1,412"
,5,1998,"Extends the Starbucks brand into grocery channels across the U.S.Opens in underserved neighborhoods through joint-venture partnership with Magic Johnson.Launches Starbucks.com.Establishes the CUPOpens stores in: England, Malaysia, New Zealand, Taiwan and Thailand. Fund emergency financial assistance fund for partners.Total stores: 1,886"
https://cmik2.github.io/photos/tazo.jpeg,5,1999,"Acquires Tazo Tea.Partners with Conservation International to promote sustainable coffee-growing practices.Acquires Hear Music, a San Francisco–based music company.Announces third two-for-one stock split.Opens stores in: China, Kuwait, Lebanon and South Korea. Total stores: 2,498"
,5,2000,"Establishes licensing agreement with TransFair USA to sell Fairtrade certified coffee in U.S. and Canada.Opens stores in: Australia, Bahrain, Hong Kong, Qatar, Saudi Arabia and United Arab Emirates.Total stores: 3,501"
,5,2001,"Introduces ethical coffee-sourcing guidelines developed in partnership with Conservation International.Introduces the Starbucks Card.Announces fourth two-for-one stock split.Opens stores in: Austria, Scotland, Switzerland and Wales.Total stores: 4,709"
,5,2002,"Establishes Starbucks Coffee Trading Company (SCTC) in Lausanne, Switzerland.Launches Wi-Fi in stores.Opens stores in: Germany, Greece, Indonesia, Mexico, Oman, Puerto Rico and Spain.Total stores: 5,886"
https://cmik2.github.io/photos/seattle.png,5,2003,"Acquires Seattle Coffee Company, which includes Seattle’s Best Coffee® and Torrefazione Italia® coffee.Opens roasting facilities in Carson Valley, Nev., and Amsterdam, Netherlands.Opens stores in: Chile,Total stores: 7,225 Cyprus,Opens stores in: Chile, Cyprus, Peru and Turkey. "
,5,2004,"Opens first Farmer Support Center in San Jose, Costa Rica.Introduces Starbucks Coffee Master Program.Opens stores in: France and Northern Ireland.Total stores: 8,569"
https://cmik2.github.io/photos/ethos.jpeg,5,2005,"Acquires Ethos Water.Announces fifth two-for-one stock split.Opens stores in: Bahamas, Ireland and Jordan.Total stores: 10,241"
,5,2006,"Launches the industry’s first paper beverage cup containing post-consumer recycled fiber.Opens stores in: Brazil and Egypt.Total stores: 12,440"
,5,2007,"Eliminates all artificial trans fat and makes 2 percent milk the new standard for espresso beverages.Opens stores in: Denmark, the Netherlands, Romania and Russia.Total stores: 15,011"
,5,2008,"Chairman Howard Schultz returns as chief executive officer and begins transformation of the company.Acquires Coffee Equipment Company and its Clover® brewing system.Adopts new Mission Statement “To inspire and nurture the human spirit – one person, one cup and one neighborhood at a time.”Launches My Starbucks Idea, Starbucks first online community. Also joins Twitter and debuts Starbucks Facebook page.Opens stores in: Argentina, Belgium, Bulgaria, Czech Republic and Portugal.Total stores: 16,680"
,5,2009,"Launches Starbucks VIA® Instant Opens Farmer Support Center in Kigali, Rwanda. Launches My Starbucks Rewards® loyalty program and Starbucks Card mobile payment.Opens stores in: Aruba and Poland.Total stores: 16,635"
,5,2010,"Expands digital offerings for customers with free unlimited Wi-Fi, Starbucks Digital Network.Seattle’s Best Coffee reinvents business strategy to extend brand’s reach.Opens stores in: El Salvador, Hungary andTotal stores: 16,858 Sweden."
,5,2011,"Launches first annual Global Month of Service to celebrate company’s 40th anniversary. Opens first Community Stores in Harlem and Crenshaw neighborhoods.Launches Starbucks® K-Cup® packs.**AcquiresOpens Farmer Support Center in Mbeya, Tanzania. Evolution Fresh.Launches Create Jobs for USA to encourage small-business growth.Opens stores in: Guatemala, Curacao and Morocco.Total stores: 17,003 ** Keurig, K‐Cup, and the K logo are trademarks of Keurig Green Mountain, Inc., used with permission."
